Fingerprint ID,coordinate_X,coordinate_Y,zone,c4:e9:84:42:ac:ff,00:26:5b:d1:93:38,00:06:91:d4:77:02,00:26:5b:d1:93:39,8c:5b:f0:78:a1:d6,00:06:91:d4:77:00,0c:47:3d:13:88:e8,0c:47:3d:13:88:e9,68:b6:fc:5b:01:08,1c:ab:c0:df:99:c8,1c:ab:c0:df:99:c9,bc:4d:fb:52:ea:28,bc:4d:fb:52:ea:29,00:fc:8d:cf:98:08,00:fc:8d:cf:98:09,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3
101,0.0,0.0,Bathroom,0,0,-69,0,-66,-69,0,0,0,0,0,0,0,0,0,-76,-79
102,0.0,0.0,Bathroom,-72,0,-69,0,-64,-69,0,0,0,0,0,0,0,0,0,-74,-76
103,0.0,0.0,Bathroom,-72,0,-69,0,-63,-69,0,0,0,0,0,0,0,0,0,-77,-78
104,0.0,0.0,Bathroom,-73,0,-61,0,-69,-60,0,0,0,0,0,0,0,0,0,-80,-84
105,0.0,0.0,Bathroom,-75,0,-61,0,-67,-60,0,0,0,0,0,0,0,0,0,-79,-80
106,0.0,0.0,Bathroom,-75,0,-61,0,-67,-61,0,0,0,0,0,0,0,0,0,-79,-81
107,0.0,0.0,Bathroom,-75,0,-61,0,-67,-61,0,0,0,0,0,0,0,0,0,-80,-86
108,0.0,0.0,Bathroom,-76,0,-61,0,-64,-61,0,0,0,0,0,0,0,0,0,-79,-82
109,0.0,0.0,Bathroom,-76,0,-61,0,-67,-61,0,0,0,0,0,0,0,0,0,-78,-82
110,0.0,0.0,Bathroom,-78,0,-61,0,-69,-61,0,0,0,0,0,0,0,0,0,-80,-86
111,0.0,0.0,Bathroom,-78,0,-61,0,-69,-61,0,0,0,0,0,0,0,0,0,0,-80
112,0.0,0.0,Bathroom,-77,0,-61,0,-68,-61,0,0,0,0,0,0,0,0,0,-80,-85
113,0.0,0.0,Bathroom,-77,0,-61,0,-65,-61,0,0,0,0,0,0,0,0,0,-80,-82
123,0.0,0.0,Bathroom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0.0,0.0,Bathroom,-61,-80,-65,-80,-59,-64,0,0,0,0,0,0,0,0,0,-79,-75
125,0.0,0.0,Bathroom,-69,-80,-62,-80,-57,-62,0,0,0,0,0,0,0,0,0,-76,-76
126,0.0,0.0,Bathroom,-63,-80,-62,-80,-58,-61,0,-80,0,0,0,0,0,0,0,-82,-70
127,0.0,0.0,Bathroom,-64,0,-62,0,-62,-61,-80,-80,0,0,0,0,0,0,0,-79,-70
128,0.0,0.0,Bathroom,-63,0,-62,0,-61,-61,-80,-80,0,0,0,0,0,0,0,-78,-76
129,0.0,0.0,Bathroom,-63,0,-63,0,-60,-64,-80,-80,0,0,0,0,0,0,0,0,-70
130,0.0,0.0,Bathroom,-63,0,-63,0,-60,-62,0,0,0,0,0,0,0,0,0,-82,-76
131,0.0,0.0,Bathroom,-66,0,-63,0,-60,-63,0,0,0,0,0,0,0,0,0,-76,-71
132,0.0,0.0,Bathroom,-65,0,-63,0,-60,-63,0,-80,0,0,0,0,0,0,0,-76,-76
