,filename,place,floor,x,y,orientation,sample_id,mac_address,timestamp,signal_strength
92,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,9,00:17:df:7d:70:51,1461864822344,-87
93,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,10,00:15:f9:6c:7a:e1,1461864822344,-58
94,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,10,00:15:f9:6c:7a:e0,1461864822344,-58
95,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,10,00:15:f9:6c:7a:e2,1461864822344,-58
96,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,10,00:15:f9:6c:7a:d2,1461864822344,-69
97,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,10,00:15:f9:6c:7a:d1,1461864822344,-70
98,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,10,00:15:f9:6c:7a:d0,1461864822344,-69
99,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,10,00:17:df:7d:70:50,1461864822344,-88
100,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,10,00:17:df:7d:70:51,1461864822344,-87
101,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,11,00:15:f9:6c:7a:e1,1461864822344,-58
102,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,11,00:15:f9:6c:7a:e0,1461864822344,-59
103,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,11,00:15:f9:6c:7a:e2,1461864822344,-59
104,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,11,00:15:f9:6c:7a:d2,1461864822344,-69
105,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,11,00:15:f9:6c:7a:d1,1461864822344,-70
106,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,11,00:15:f9:6c:7a:d0,1461864822344,-70
107,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,11,00:17:df:7d:70:50,1461864822344,-88
108,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,11,00:17:df:7d:70:51,1461864822344,-87
109,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,11,00:17:df:7d:70:52,1461864822344,-87
110,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,12,00:15:f9:6c:7a:e1,1461864822344,-58
111,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,12,00:15:f9:6c:7a:e0,1461864822344,-58
112,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,12,00:15:f9:6c:7a:e2,1461864822344,-58
113,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,12,00:15:f9:6c:7a:d2,1461864822344,-69
114,"left-to-right-point(0.25,0.75).json",ed2.fct.unl.pt,2,0.25,0.75,33.281586,12,00:15:f9:6c:7a:d1,1461864822344,-70
