Fingerprint ID,coordinate_X,coordinate_Y,00:12:da:9e:32:31,00:15:f9:6c:7d:72,00:15:f9:6c:7d:71,00:15:f9:6c:7d:70,00:12:da:9e:32:30,00:11:21:6c:4e:72,00:11:21:6c:4e:71,00:15:f9:6c:7d:21,00:11:21:6c:50:e2,00:11:21:6c:4e:70,00:11:21:6c:50:e1,00:11:21:6c:50:e0,00:12:da:9e:32:32,00:15:f9:6c:7d:20,00:15:f9:6c:7d:22,00:11:21:66:75:81,00:11:21:66:75:82,00:11:21:66:75:80,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:1b:fc:22:43:4e,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:d0,00:12:80:17:ac:ae,00:17:df:7d:70:50,88:e3:ab:11:f4:ee,00:17:df:7d:70:51,00:17:df:7d:70:52,00:12:da:9e:31:91,00:0f:60:06:71:2e,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16
76,13.75,1.25,-64.0,-70.0,-67.0,-67.0,-62.0,-87.0,-87.0,,,-85.0,,,-64.0,,,-83.0,-81.0,-85.0,-54.0,-54.0,-55.0,,-80.0,-77.0,-80.0,,,,,,,,,,,,,,
77,13.75,1.25,-69.0,-66.0,-66.0,-64.0,-69.0,-88.0,-87.0,,,,,,-65.0,,,-86.0,-81.0,,-57.0,-56.0,-57.0,,-79.0,-74.0,-77.0,,,,,,,,,,,,,,
78,13.75,1.25,-66.0,-64.0,-64.0,-63.0,-66.0,-87.0,-88.0,,,,,,-65.0,,,-87.0,,,-57.0,-56.0,-56.0,,-80.0,-80.0,-80.0,,,,,,,,,,,,,,
79,13.75,1.25,-66.0,-64.0,-65.0,-65.0,-65.0,-88.0,-89.0,,,,,,-66.0,,,-86.0,-88.0,-87.0,-56.0,-57.0,-56.0,,-80.0,-77.0,-77.0,,,,,,,,,,,,,,
80,13.75,11.25,-64.0,-51.0,-52.0,-51.0,-64.0,-76.0,-77.0,-81.0,-80.0,-77.0,-78.0,-78.0,-63.0,-81.0,-80.0,-78.0,-79.0,-79.0,-80.0,-79.0,-80.0,,,,,,,,,,,,,,,,,,
81,13.75,11.25,-62.0,-45.0,-45.0,-45.0,-64.0,-71.0,-71.0,-84.0,-81.0,-72.0,-77.0,-80.0,-63.0,-82.0,-83.0,-88.0,-88.0,-77.0,-78.0,-78.0,-78.0,,-89.0,,,,,,,,,,,,,,,,
82,13.75,11.25,-70.0,-46.0,-46.0,-47.0,-70.0,-77.0,-76.0,-86.0,-85.0,-76.0,-80.0,-78.0,-72.0,-80.0,-81.0,-77.0,-77.0,-78.0,-79.0,-79.0,-79.0,,-89.0,,,,,,,,,,,,,,,,
83,13.75,11.25,-68.0,-46.0,-45.0,-46.0,-68.0,-76.0,-77.0,-85.0,-82.0,-77.0,-78.0,-82.0,-67.0,-81.0,-85.0,-80.0,-79.0,-79.0,-76.0,-76.0,-76.0,,-89.0,,,,,,,,,,,,,,,,
84,13.75,11.25,-69.0,-46.0,-47.0,-46.0,-68.0,-74.0,-74.0,-85.0,-79.0,-74.0,-79.0,-80.0,-68.0,-81.0,-81.0,-80.0,-79.0,-87.0,-76.0,-77.0,-76.0,,-87.0,,,,,,,,,,,,,,,,
85,13.75,11.25,-69.0,-47.0,-46.0,-46.0,-69.0,-74.0,-74.0,-82.0,-81.0,-74.0,-80.0,-78.0,-69.0,-81.0,-81.0,-78.0,-79.0,-79.0,-77.0,-77.0,-76.0,,-88.0,-89.0,,,,,,,,,,,,,,,
86,13.75,11.25,-69.0,-46.0,-46.0,-46.0,-69.0,-75.0,-75.0,-80.0,-81.0,-74.0,-82.0,-81.0,-69.0,-81.0,-81.0,-79.0,-78.0,-79.0,-77.0,-77.0,-77.0,,-88.0,-89.0,,,,,,,,,,,,,,,
87,13.75,11.25,-69.0,-47.0,-46.0,-46.0,-70.0,-75.0,-74.0,-80.0,-81.0,-74.0,-78.0,-81.0,,-80.0,-82.0,-79.0,-79.0,-79.0,-76.0,-77.0,-77.0,,-87.0,-87.0,,,,,,,,,,,,,,,
88,13.75,11.25,-69.0,-47.0,-47.0,-47.0,-69.0,-74.0,-74.0,-86.0,-82.0,-74.0,-79.0,-79.0,-69.0,-86.0,-80.0,-79.0,-78.0,-78.0,-77.0,-77.0,-77.0,,-87.0,-87.0,,,,,,,,,,,,,,,
89,13.75,11.25,-69.0,-47.0,-46.0,-46.0,-69.0,-75.0,-75.0,-81.0,-82.0,-75.0,-80.0,-79.0,-68.0,-86.0,-88.0,-81.0,-80.0,-80.0,-76.0,-77.0,-76.0,,-87.0,,,,,,,,,,,,,,,,
