Fingerprint ID,coordinate_X,coordinate_Y,zone,f0:5c:19:94:1a:40,f0:5c:19:94:1a:41,f0:5c:19:94:1a:42,34:fc:b9:18:e4:c1,34:fc:b9:18:e4:c0,34:fc:b9:18:e4:c2,f0:5c:19:94:1a:50,f0:5c:19:94:1a:51,f0:5c:19:94:1a:52,4c:ed:fb:5a:5c:0c,4c:ed:fb:5a:5c:08,f0:5c:19:94:19:e1,f0:5c:19:94:19:e2,34:fc:b9:18:e8:21,34:fc:b9:18:e8:22,34:fc:b9:18:e8:20,f0:5c:19:94:19:e0,34:fc:b9:18:e4:d2,48:ee:0c:ed:93:b5,34:fc:b9:18:e4:d0,34:fc:b9:18:e4:d1,34:fc:b9:18:e8:30,34:fc:b9:18:e8:32,10:7b:44:eb:73:98,f0:5c:19:94:19:f2,f0:5c:19:94:19:f0,34:fc:b9:18:e7:21,34:fc:b9:18:e7:22,34:fc:b9:18:e7:20,f0:5c:19:94:19:f1,E1:E9:C3:D9:09:C3,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3
365,0.0,2.0,Social,-71,-68,-69,0,0,0,-85,-84,-84,-91,-77,-88,0,0,0,0,0,-78,-94,-78,-78,0,-91,0,0,0,0,0,0,0,-82,0,-87
366,0.0,2.0,Social,-69,-67,-69,0,0,0,-83,-83,-83,-93,-76,-88,0,0,0,0,0,-78,-94,-78,-77,0,0,0,0,0,0,0,0,0,-81,-80,-87
367,0.0,2.0,Social,-64,-69,-66,0,0,0,-78,-78,-78,-92,-77,-86,-85,0,0,0,0,-80,0,-80,-79,0,0,0,0,0,0,0,0,0,-82,-80,-84
368,0.0,2.0,Social,-65,-68,-64,0,0,0,-78,-78,-78,-93,-77,0,-88,0,0,0,0,-79,0,-79,-79,0,0,0,0,0,0,0,0,0,-82,-80,-92
369,0.0,2.0,Social,-68,-66,-63,0,0,0,-78,-78,-78,-91,-77,-88,-87,-75,-77,-76,-87,-80,0,-80,-80,0,0,0,0,0,0,0,0,0,-88,-82,-87
370,0.0,2.0,Social,-62,-65,-67,0,0,0,-79,-79,-79,-93,-77,-87,-89,0,0,0,0,-79,-93,-79,-79,0,0,0,0,0,0,0,0,0,-82,0,-87
371,0.0,2.0,Social,-64,-64,-65,0,0,0,-77,-78,-78,-92,-78,-87,-88,0,0,0,-90,-79,-91,-79,-79,0,0,0,0,0,0,0,0,0,-83,-85,-86
372,0.0,2.0,Social,-65,-64,-63,0,0,0,-75,-76,-75,-89,-76,-85,-91,-72,-74,-73,0,-81,0,-81,-81,-89,0,0,0,0,0,0,0,0,-84,0,-83
373,0.0,2.0,Social,-62,-63,-62,0,0,0,-76,-76,-76,-89,-77,-86,-87,0,0,0,-87,-82,0,-81,-81,0,0,0,0,0,0,0,0,0,-84,-81,-84
374,0.0,2.0,Social,-68,-65,-65,0,0,0,-81,-82,-81,-91,-79,-85,-87,0,0,0,-87,-83,-93,-83,-84,-87,-87,0,0,0,0,0,0,0,-86,-87,-98
375,0.0,2.0,Social,-70,-57,-71,0,0,0,-82,-81,-81,-89,-82,-84,-90,-70,-71,-71,-89,-86,0,-86,-85,0,0,0,0,0,0,0,0,0,-86,-85,-92
376,0.0,2.0,Social,-76,-59,-70,0,0,0,-81,-81,-82,-89,-79,0,0,0,0,0,0,-85,-93,-85,-85,0,0,0,0,0,0,0,0,0,0,-92,-94
377,0.0,2.0,Social,-70,-59,-71,0,0,0,-80,-79,-79,-88,-86,0,0,0,0,0,0,-87,0,-87,0,0,0,0,0,0,0,0,0,0,-83,-83,-91
378,0.0,2.0,Social,-68,-60,-70,0,0,0,-80,-80,-80,-88,-81,0,0,-70,-72,0,0,-85,0,-85,-85,0,0,0,0,0,0,0,0,0,-85,0,-91
