coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,3.0,-90,-90.0,2-3 meters
0.0,3.0,-84,-87.0,2-3 meters
0.0,3.0,-94,-89.33333333333333,2-3 meters
0.0,3.0,-78,-86.5,2-3 meters
0.0,3.0,-83,-83.0,2-3 meters
0.0,3.0,-84,-83.5,2-3 meters
0.0,3.0,-85,-84.0,2-3 meters
0.0,3.0,-85,-84.25,2-3 meters
0.0,3.0,-87,-84.8,2-3 meters
0.0,3.0,-88,-88.0,2-3 meters
0.0,3.0,-88,-88.0,2-3 meters
0.0,3.0,-85,-87.0,2-3 meters
0.0,3.0,-87,-87.0,2-3 meters
0.0,3.0,-86,-86.0,2-3 meters
0.0,3.0,-90,-88.0,2-3 meters
0.0,3.0,-88,-88.0,2-3 meters
0.0,3.0,-90,-88.5,2-3 meters
0.0,3.0,-83,-87.4,2-3 meters
0.0,3.0,-91,-91.0,2-3 meters
0.0,3.0,-90,-90.5,2-3 meters
0.0,3.0,-86,-86.0,2-3 meters
0.0,3.0,-90,-88.0,2-3 meters
0.0,3.0,-86,-87.33333333333333,2-3 meters
0.0,3.0,-89,-87.75,2-3 meters
0.0,3.0,-83,-86.8,2-3 meters
0.0,3.0,-87,-86.83333333333333,2-3 meters
0.0,3.0,-89,-87.14285714285714,2-3 meters
0.0,3.0,-88,-87.25,2-3 meters
0.0,3.5,-81,-81.0,3-4 meters
0.0,3.5,-80,-80.5,3-4 meters
0.0,3.5,-78,-79.66666666666667,3-4 meters
0.0,3.5,-88,-81.75,3-4 meters
0.0,3.5,-79,-79.0,3-4 meters
0.0,3.5,-80,-79.5,3-4 meters
0.0,3.5,-84,-81.0,3-4 meters
0.0,3.5,-84,-81.75,3-4 meters
0.0,3.5,-83,-83.0,3-4 meters
0.0,3.5,-83,-83.0,3-4 meters
0.0,3.5,-86,-84.0,3-4 meters
0.0,3.5,-84,-84.0,3-4 meters
0.0,3.5,-79,-79.0,3-4 meters
0.0,3.5,-80,-79.5,3-4 meters
0.0,3.5,-83,-80.66666666666667,3-4 meters
0.0,3.5,-81,-80.75,3-4 meters
0.0,3.5,-84,-81.4,3-4 meters
0.0,3.5,-81,-81.0,3-4 meters
0.0,3.5,-81,-81.0,3-4 meters
0.0,3.5,-81,-81.0,3-4 meters
0.0,3.5,-85,-82.0,3-4 meters
0.0,3.5,-81,-81.0,3-4 meters
0.0,3.5,-81,-81.0,3-4 meters
0.0,3.5,-83,-81.66666666666667,3-4 meters
0.0,3.5,-82,-81.75,3-4 meters
0.0,3.5,-83,-82.0,3-4 meters
0.0,3.5,-82,-82.0,3-4 meters
0.0,3.5,-82,-82.0,3-4 meters
0.0,3.5,-85,-83.0,3-4 meters
0.0,3.5,-84,-83.25,3-4 meters
0.0,3.5,-82,-82.0,3-4 meters
